iter	Logloss
0	0.5470111681
1	0.4421210712
2	0.364521391
3	0.3122514959
4	0.2728662659
5	0.2478316867
6	0.226489744
7	0.2104828365
8	0.1974287747
9	0.1876711463
10	0.1789265545
11	0.1721332854
12	0.1669364132
13	0.1621539945
14	0.1596718051
15	0.1565996416
16	0.1541837865
17	0.1519839422
18	0.1507829088
19	0.1490690841
20	0.1476632386
21	0.146739887
22	0.1460528961
23	0.1448755635
24	0.143822483
25	0.143234171
26	0.1423875912
27	0.1415049657
28	0.1409987361
29	0.1405720428
30	0.1401125849
31	0.1395117182
32	0.1390218228
33	0.1386297752
34	0.1381068264
35	0.1376599756
36	0.1373526963
37	0.1369360993
38	0.1366242792
39	0.1360099568
40	0.1354847332
41	0.1351613296
42	0.1346458174
43	0.1343760884
44	0.1341109088
45	0.1338995875
46	0.1336144517
47	0.1332648626
48	0.1328542848
49	0.1325414237
50	0.1322013009
51	0.1319222018
52	0.1317135052
53	0.131491939
54	0.1311427173
55	0.1309384477
56	0.130730276
57	0.1304870562
58	0.1302800307
59	0.1300848774
60	0.1299355684
61	0.1297450958
62	0.1295757344
63	0.1293774752
64	0.129226049
65	0.1289895484
66	0.1287079559
67	0.128509933
68	0.1282223737
69	0.1280815161
70	0.1279328721
71	0.1277449804
72	0.1275886373
73	0.1274123292
74	0.1272046213
75	0.1270529064
76	0.1268730724
77	0.1266568605
78	0.1264281377
79	0.1262554166
80	0.1261245154
81	0.1259898958
82	0.1258474285
83	0.1256887057
84	0.1254331762
85	0.125283806
86	0.1250524585
87	0.1248642081
88	0.1247486875
89	0.1246150215
90	0.1244937879
91	0.1244029829
92	0.1242599119
93	0.1240750911
94	0.1239420201
95	0.1238694041
96	0.1237092203
97	0.1235771904
98	0.1234471116
99	0.1233081876
100	0.1232026932
101	0.1230883623
102	0.1229906107
103	0.1229004007
104	0.1228061924
105	0.1226877846
106	0.1225136287
107	0.1224031387
108	0.1223232873
109	0.1221869093
110	0.1220816336
111	0.1220053081
112	0.1218610385
113	0.1217901548
114	0.1216401197
115	0.1215013269
116	0.1213875998
117	0.1212696819
118	0.1211847912
119	0.1210537062
120	0.1209580981
121	0.1208821838
122	0.1207418074
123	0.1206179578
124	0.1205528572
125	0.1204103636
126	0.1203123933
127	0.1202229881
128	0.1201395147
129	0.1200193222
130	0.1199544227
131	0.1198331015
132	0.1197378084
133	0.1196143437
134	0.1195203803
135	0.1193830661
136	0.1193009838
137	0.1192354632
138	0.1191161018
139	0.1190306687
140	0.1189582976
141	0.1188255854
142	0.118718175
143	0.1186580699
144	0.1185660138
145	0.1184892771
146	0.1184018667
147	0.1183148675
148	0.1182215954
149	0.1181144562
150	0.1180409478
151	0.1179525488
152	0.1178726449
153	0.1178283492
154	0.1177418399
155	0.1176862581
156	0.1176267742
157	0.11754009
158	0.1174828108
159	0.1174283576
160	0.1173348492
161	0.1172508859
162	0.1171944554
163	0.1171284623
164	0.1170646478
165	0.1169300457
166	0.116879232
167	0.1167268347
168	0.1166663272
169	0.1166120227
170	0.1165598179
171	0.1164917864
172	0.1164314976
173	0.1163621975
174	0.1163008938
175	0.1162437459
176	0.1161826173
177	0.116126108
178	0.1160452331
179	0.1159723634
180	0.1158919171
181	0.1158232294
182	0.1157568864
183	0.1156844979
184	0.1156095022
185	0.1155608057
186	0.1154919343
187	0.1154175948
188	0.1153800182
189	0.1153215842
190	0.1152472097
191	0.1151516628
192	0.1150844711
193	0.1150296592
194	0.1149533774
195	0.1148973668
196	0.1148523712
197	0.1147843571
198	0.1147037796
199	0.1146450832
200	0.1145919423
201	0.1145523972
202	0.114467559
203	0.1143788887
204	0.1143463778
205	0.1143052666
206	0.1142585824
207	0.1142200259
208	0.1141475937
209	0.1140989235
210	0.1140559138
211	0.1140293696
212	0.1139716443
213	0.113895625
214	0.1138401394
215	0.1137915916
216	0.1137554499
217	0.1137163947
218	0.1136657735
219	0.1136100517
220	0.1134824313
221	0.1134326849
222	0.1133722912
223	0.1133300077
224	0.1132645921
225	0.1132323611
226	0.1132052044
227	0.1131210136
228	0.1130856943
229	0.1130464379
230	0.1129674177
231	0.1129316609
232	0.1128854141
233	0.1128271551
234	0.1127904447
235	0.1127311883
236	0.1126639616
237	0.1125715644
238	0.1125015468
239	0.1124712231
240	0.1123948713
241	0.1123537164
242	0.112310838
243	0.1122334538
244	0.1121869621
245	0.1121319839
246	0.1120954135
247	0.1120485456
248	0.1119457721
249	0.1119075393
250	0.111859394
251	0.1117924036
252	0.1117313099
253	0.1116679066
254	0.1116025172
255	0.1115370928
256	0.1115024646
257	0.1114591837
258	0.1114246955
259	0.111366489
260	0.1112926832
261	0.1112598135
262	0.1111947128
263	0.1111257451
264	0.1110755526
265	0.1110110119
266	0.1109725954
267	0.1109399707
268	0.1108460599
269	0.1107841175
270	0.1107406179
271	0.1106950449
272	0.1106422452
273	0.1105840124
274	0.1105449397
275	0.1104902328
276	0.1104586755
277	0.1104206264
278	0.1103717637
279	0.110325517
280	0.1102757269
281	0.1102297339
282	0.1101754556
283	0.1101423585
284	0.1101133383
285	0.1100609236
286	0.1100321834
287	0.1099798474
288	0.1099455254
289	0.1098889987
290	0.1097973013
291	0.1097543267
292	0.1097229968
293	0.1096976074
294	0.1096604508
295	0.1095825242
296	0.1095390946
297	0.109499777
298	0.1093989808
299	0.1093537051
300	0.1093033201
301	0.1092629877
302	0.1092298905
303	0.1091842562
304	0.1090785431
305	0.1090114914
306	0.1089537923
307	0.1088986741
308	0.1088324886
309	0.1087885866
310	0.1087642296
311	0.1087291902
312	0.1087083065
313	0.1086677728
314	0.1086326459
315	0.1085943432
316	0.1085680352
317	0.1085171603
318	0.1084558479
319	0.1083894174
320	0.1083550166
321	0.1083092248
322	0.108251132
323	0.1081953665
324	0.1081296884
325	0.1080857863
326	0.108039802
327	0.1080095045
328	0.1079650776
329	0.107931018
330	0.1078942026
331	0.1078739139
332	0.1078349025
333	0.1077894256
334	0.1077351823
335	0.1076983757
336	0.1076578157
337	0.1076196704
338	0.1075657596
339	0.1075369407
340	0.1074914114
341	0.1074533536
342	0.1074298628
343	0.1073794428
344	0.1073304838
345	0.1072542983
346	0.1072258643
347	0.1071993114
348	0.1071460043
349	0.1071200462
350	0.1070656717
351	0.1070199237
352	0.1070006236
353	0.1069761703
354	0.1069609822
355	0.1068805535
356	0.1068352078
357	0.1067937992
358	0.1067364938
359	0.1067079724
360	0.1066523643
361	0.1066000633
362	0.1065640965
363	0.1065344552
364	0.1064949888
365	0.1064606318
366	0.1064303431
367	0.106384735
368	0.1063389782
369	0.106316756
370	0.106296231
371	0.106229468
372	0.1061813665
373	0.1061452948
374	0.1061159421
375	0.1060673332
376	0.1060157321
377	0.1059897916
378	0.1059557933
379	0.1058901589
380	0.1058556007
381	0.1058325211
382	0.1057966068
383	0.1057610162
384	0.1057191177
385	0.1056796951
386	0.1056323547
387	0.1056011648
388	0.1055649006
389	0.1055021359
390	0.1054607272
391	0.1054429932
392	0.105402302
393	0.1053693361
394	0.1053302722
395	0.1053016632
396	0.1052725381
397	0.1052348828
398	0.1052104646
399	0.1051923806
400	0.1051557226
401	0.1051096246
402	0.1050674548
403	0.1050225729
404	0.1049654775
405	0.1049208755
406	0.1048658536
407	0.1048414091
408	0.1047986445
409	0.104751724
410	0.1047083819
411	0.104683185
412	0.104625276
413	0.1045927125
414	0.1045629925
415	0.1045385917
416	0.1045027824
417	0.1044665182
418	0.1044263694
419	0.1043878742
420	0.1043543396
421	0.1043232547
422	0.1043074717
423	0.1042746895
424	0.1042353456
425	0.1042109799
426	0.1041630271
427	0.1041231233
428	0.1040830795
429	0.104045153
430	0.104025153
431	0.1039850567
432	0.1039540331
433	0.1039236743
434	0.1038988099
435	0.1038588011
436	0.1038206909
437	0.1037910758
438	0.1037590373
439	0.1037179349
440	0.1036956514
441	0.1036453801
442	0.1036068937
443	0.1035341989
444	0.1035009881
445	0.10346517
446	0.1034422129
447	0.1034200606
448	0.1033874622
449	0.1033592994
450	0.1033262723
451	0.103292449
452	0.1032254498
453	0.1031989318
454	0.1031727988
455	0.103145091
456	0.1030673307
457	0.1030225712
458	0.1029751434
459	0.1029299027
460	0.1028966481
461	0.1028719499
462	0.1028504188
463	0.1028209263
464	0.1028013637
465	0.1027661581
466	0.1027371204
467	0.1027158256
468	0.1026929384
469	0.1026623784
470	0.1026240057
471	0.1026032708
472	0.1025707336
473	0.1025479164
474	0.1025224658
475	0.1024880038
476	0.1024573564
477	0.1024275401
478	0.1023948717
479	0.1023590186
480	0.1023247229
481	0.1022907421
482	0.1022589835
483	0.1022325006
484	0.1022055102
485	0.1021713894
486	0.1021485985
487	0.1021189834
488	0.1020419317
489	0.1020137602
490	0.1019739002
491	0.1019462711
492	0.1019177671
493	0.1018736201
494	0.1018462623
495	0.1018207417
496	0.1018001205
497	0.1017705142
498	0.1017371808
499	0.1017035062
500	0.1016701466
501	0.1016116077
502	0.1015883793
503	0.1015645997
504	0.1015339435
505	0.1014926049
506	0.101460024
507	0.1014458157
508	0.1014115812
509	0.1013886153
510	0.1013548883
511	0.1013376529
512	0.1013097001
513	0.1012512924
514	0.1012295951
515	0.101199735
516	0.1011863317
517	0.1011589126
518	0.1011305399
519	0.1010943894
520	0.1010663141
521	0.1010495424
522	0.1010198574
523	0.1009798048
524	0.100960566
525	0.1009380813
526	0.100912237
527	0.100863838
528	0.1008376612
529	0.1008205134
530	0.1007942054
531	0.1007355614
532	0.1007150802
533	0.1007014319
534	0.100684914
535	0.1006676174
536	0.1006486147
537	0.1006092709
538	0.1005659287
539	0.1005145376
540	0.1004423153
541	0.1004143888
542	0.1003979058
543	0.1003683083
544	0.1003456573
545	0.1003131026
546	0.1002826389
547	0.1002426564
548	0.100223645
549	0.1001912653
550	0.1001560159
551	0.1001223413
552	0.100096742
553	0.1000691217
554	0.1000426212
555	0.1000070481
556	0.09996156252
557	0.09993872786
558	0.09991255111
559	0.09987369718
560	0.09984664554
561	0.09983384588
562	0.09981296222
563	0.099796663
564	0.09975529813
565	0.09973677668
566	0.0997152631
567	0.09969185976
568	0.09967017995
569	0.09964326829
570	0.09961162347
571	0.09957866631
572	0.09955447557
573	0.09951616407
574	0.09948224453
575	0.09946650524
576	0.09944520163
577	0.09941236696
578	0.09938046842
579	0.09935352177
580	0.09933826366
581	0.09932187695
582	0.09930096704
583	0.09928582267
584	0.09927115074
585	0.0992461551
586	0.09922597135
587	0.09920194684
588	0.09917178058
589	0.09914767732
590	0.0991216843
591	0.09910506137
592	0.0990810106
593	0.09904706482
594	0.09901801842
595	0.09899707352
596	0.09897559494
597	0.09894094924
598	0.0989251837
599	0.09889679347
600	0.09886689844
601	0.09884816701
602	0.09882238396
603	0.09876294384
604	0.09873652212
605	0.09871831563
606	0.09869680206
607	0.09866271629
608	0.09864373989
609	0.09859675823
610	0.09858011779
611	0.098544221
612	0.0985264607
613	0.09849688063
614	0.09847793048
615	0.09844667061
616	0.09842568197
617	0.09839086129
618	0.09834309222
619	0.09830977636
620	0.0982454281
621	0.09821610174
622	0.09819603173
623	0.09816373949
624	0.09814026615
625	0.0981245881
626	0.09810726525
627	0.09808258457
628	0.0980662416
629	0.09804678401
630	0.09801121968
631	0.09797962735
632	0.09796543661
633	0.09794366931
634	0.09792064217
635	0.09790367803
636	0.0978729256
637	0.0978560052
638	0.09784091332
639	0.09780297803
640	0.0977689885
641	0.09774621508
642	0.09771841103
643	0.09768239175
644	0.09765916339
645	0.09763713362
646	0.0976099595
647	0.09759087812
648	0.0975644564
649	0.0975318317
650	0.0975068798
651	0.09749371268
652	0.09746261904
653	0.0974259261
654	0.09739751837
655	0.09738212029
656	0.09736196279
657	0.09734333635
658	0.09731625846
659	0.09730201523
660	0.0972563809
661	0.09723067659
662	0.09719605714
663	0.09717869054
664	0.09715020408
665	0.09713164763
666	0.09711626704
667	0.09708415853
668	0.09706379106
669	0.09704233872
670	0.09701671315
671	0.09699907534
672	0.09697659939
673	0.09696147251
674	0.09694097381
675	0.09692140249
676	0.09689217237
677	0.09684209359
678	0.0968121723
679	0.09679017753
680	0.09676596054
681	0.09673972255
682	0.09672417573
683	0.09670528682
684	0.09668403571
685	0.09665811268
686	0.09663713278
687	0.0966204661
688	0.096607194
689	0.09658995864
