"0","ggplot(DataFrame, aes(x = Date, y = TimeSeries)) +"
"0","  geom_line(color = ""blue"") +"
"0","  labs(x = ""Date"", y = ""Value"", title = ""Time Series Data"") +"
"0","  theme_bw() +"
"0","  theme(plot.title = element_text(hjust = 0.5),"
"0","        axis.title = element_text(size = 12),"
"0","        axis.text = element_text(size = 9),"
"0","        panel.grid.minor = element_blank(),"
"0","        panel.border = element_blank(),"
"0","        panel.background = element_blank()) +"
"0","  guides(color = 'None')"
